,"Tarrytown Day 5
Tarrytown Boat Club,
September 2, 2016","2016-09-04 Monitoring
Katy's Cage on Brooklyn Barge,
September 4, 2016","bearbower2
Bearbower,
September 4, 2016","Sept 2016
L+N Oysters,
September 10, 2016","2016-03
Transmitter Park,
September 17, 2016","Yonkers September 24
Science Barge,
September 24, 2016","Day 6 Tarrytown
Tarrytown Boat Club,
September 25, 2016"
Minimum size of live oysters (mm),31,14,,0,30,27,44
Maximum size of live oysters (mm),56,31,,0,45,49,64
Average size of live oysters (mm),43.2,25,,0,40,40.41666667,50.6
Substrate Shell #7,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/13854d373ef971b0957cf2ec2fd24462.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/310b826351f43af9792af5386d72ffd1.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b94bb7fd93751be938ee3948ca31181b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d3833e6210e5164b9bba3e7d129c0779.jpg,
Inner side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates13cd90600a558510716f40e9e287fa0f.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates8263c9fb36e5c109d5fcefe431f8cd2b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf9ed6e51e27ab844d3c67c01b84ef71f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7b2ca6d0f4405d6cf1333ee43a116364.jpg,
Set date,7/14/2015,8/15/2015,,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,5,0,,4,7,,5
Total mass of live oysters at baseline (g),,,,,,,
Total number of live oysters on shell,5,0,0,4,2,9,4
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"44,35,41,42,30",,,"39,21,39,37","40,45","34,46,52,41,40,22,55,32,50","50,34,42,46"
Minimum size of live oysters (mm),30,0,,21,40,22,34
Maximum size of live oysters (mm),44,0,,39,45,55,50
Average size of live oysters (mm),38.4,0,,34,42.5,41.33333333,43
Substrate Shell #8,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f4668a6b81b1b6a3f8b1da90068002bb.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6e8644c13d65f6abb6f258f9abe91a71.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ca699b9afbfe7c630dc1b99c4a00794e.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/187c413de0c86497833d9c717dc89066.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ea369b2d31420f2fcb16685a4bff38b1.jpg,
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf355766feb3754c3932449a6e836363d.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4a0c23e815cd9a5a682dea0ef7133240.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates0bb5bef6b94011f3fc53857a807852f5.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates28a8ff1c89a2b2f2d06c0e3c363d85c4.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates34e6724871666bab7259c5271d6fb4e9.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa7074ac224af97aace2b083f44161c9e.jpg
Set date,7/14/2015,8/15/2015,,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,7,2,,12,15,,7
Total mass of live oysters at baseline (g),,,,,,,
Total number of live oysters on shell,3,2,0,11,3,10,3
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"48,57,50","35,34",,"49,61,41,47,41,44,45,55,44,14,44","45,40,35","32,44,39,31,39,52,42,38,37,43","63,52,48"
Minimum size of live oysters (mm),48,34,,14,35,31,48
Maximum size of live oysters (mm),57,35,,61,45,52,63
Average size of live oysters (mm),51.66666667,34.5,,44.09090909,40,39.7,54.33333333
Substrate Shell #9,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1168e4911b152e5e9fe2336cd556a303.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/7a286929e4321a3d8fcbfca6807347ea.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2f7ade90f02ab2dc53882def9048fd17.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9babc848dcba13eaa6a220039f0c3ecd.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b99a921bd6a1fb43bab44fa0aa0bedd3.jpg,
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates1d5469b9a5b75d704cecfb2e3cebb014.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates59f5138754d4ebb67a55009f2d055765.JPG,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates1734e779aca2e085d672841b0f88af89.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesb92e9334417d2d24e9c8ff67ca43a411.jpg,
Set date,7/14/2015,8/15/2015,,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,11,1,,5,16,,11
Total mass of live oysters at baseline (g),,,,,,,
Total number of live oysters on shell,11,1,0,3,4,9,10
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"47,52,40,37,38,53,44,35,50,24,47",34,,"35,28,24","50,35,45,40","58,38,42,42,46,38,40,42,40","52,53,43,39,46,37,45,45,54,25"
Minimum size of live oysters (mm),24,34,,24,35,38,25
Maximum size of live oysters (mm),53,34,,35,50,58,54
Average size of live oysters (mm),42.45454545,34,,29,42.5,42.88888889,43.9
Substrate Shell #10,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1a65314cf91c3f5e30c3055c47d3bf52.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/02d9bf31d996cfa4f11a2414b9281f4e.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2247701c6108b85d1afe7a63fe670364.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d849d14e3fb2b2167c4a165f5c268897.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/aa3aa8de9408a0cb7c354e2d2753281f.jpg,
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates05ad8d58165702e0ea87c58565eeacb9.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates99956ba00706f381b0c758c93ba804ed.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc45cd72cefdcb012f236cbcbf3bb0369.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4e1c71c3aa07939a67ceb44633d9e017.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa60fc78294bd8a17eca9350e73eb1e85.jpg,
Set date,7/14/2015,8/15/2015,,1/1/1970,7/6/2016,7/15/2015,7/14/2015
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,4,3,,21,5,,4
Total mass of live oysters at baseline (g),,,,,,,
Total number of live oysters on shell,4,3,0,11,2,14,4
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,0,0,0,0
Measurements (mm),"46,46,39,42","36,19,36",,"45,24,29,42,44,40,32,31,36,42,26","30,30","43,44,42,55,31,53,47,45,42,55,47,51,52,41","51,40,45,44"
Minimum size of live oysters (mm),39,19,,24,30,31,40
Maximum size of live oysters (mm),46,36,,45,30,55,51
Average size of live oysters (mm),43.25,30.33333333,,35.54545455,30,46.28571429,45
Minimum size of all live oysters (mm),24,14,25,14,30,7,25
Maximum size of all live oysters (mm),57,43,70,61,50,61,64
Average size of all live oysters (mm),42.16216216,30.60869565,43.33333333,37.35135135,40.8,43.04651163,45.31428571
Total number of all live oysters,37,23,9,37,25,86,35
Water Quality Sample #1,,,,,,,
pH,,,,,,,
Method,Test strips,Sensor,Sensor (read only),Sensor,Sensor (read only),Test strips,Test strips
Unit,pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale)
Results,"6,6,6","7.54,7.05,7.12","7,7","7.6,7.7,7.7","10,10,11","6,6,6","6,6,6"
Average,6,7.24,7,7.67,10.33,6,6
